Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","004","Afghanistan","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","35688.935","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","18038.999","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","17649.936","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","26558.609","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","004","Afghanistan","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","8971.472","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","57635.162","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","27904.835","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","29730.327","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","19369.002","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","710","Afrique du Sud","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","37348.154","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","2898.242","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","1434.442","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","1463.801","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","1190.155","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","008","Albanie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","1740.032","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","41689.299","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","21316.232","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","20373.068","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","11547.532","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","012","Algérie","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","29770.61","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","83104.007","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","41022.496","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","42081.511","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","18672.1","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","276","Allemagne","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","63442.124","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","73.763","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","37.398","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","36.364","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","9.12","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","020","Andorre","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","67.845","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","30234.839","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","14938.928","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","15295.91","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","10472.554","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","024","Angola","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","19311.639","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","14.425","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","7.059","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","7.365","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","0","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","660","Anguilla","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","14.909","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","511","Population totale","3010","Population-Estimations","2017","2017","1000 No","90.468","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","512","Hommes","3010","Population-Estimations","2017","2017","1000 No","42.969","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","513","Femmes","3010","Population-Estimations","2017","2017","1000 No","47.498","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","551","Population rurale","3010","Population-Estimations","2017","2017","1000 No","76.802","X","Ciffre de sources internationales",""
"OA","Séries temporelles annuelles","028","Antigua-et-Barbuda","561","Population urbaine","3010","Population-Estimations","2017","2017","1000 No","25.21","X","Ciffre de sources internationales",""
