Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210041","Prévalence de la sous-alimentation (%) (moyenne sur 3 ans)","20162018","2016-2018","%","21.4","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6132","Valeur","210011","Nombre de personnes sous-alimentées (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions de No","7.6","E","Valeur estimée",""
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210401","Prévalence de l’insécurité alimentaire grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","17.3","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210401M","Prévalence de l’insécurité alimentaire grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","15.3","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210401F","Prévalence de l’insécurité alimentaire grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","19.4","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210091","Prévalence de l’insécurité alimentaire modérée ou grave – population totale (%) (moyenne sur 3 ans)","20162018","2016-2018","%","54.3","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210091M","Prévalence de l’insécurité alimentaire modérée ou grave – hommes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","50.8","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6121","Valeur","210091F","Prévalence de l’insécurité alimentaire modérée ou grave – femmes adultes (%) (moyenne sur 3 ans)","20162018","2016-2018","%","57.8","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6132","Valeur","210071","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions de No","6.2","E","Valeur estimée","FAO data"
"FS","Données de la sécurité alimentaire","004","Afghanistan","6132","Valeur","210071M","Nombre de personnes en situation d’insécurité alimentaire grave (millions) (moyenne sur 3 ans)","20162018","2016-2018","millions de No","1.5","E","Valeur estimée","FAO data"
